PackageId,Address,PlannedGaylord,PlannedRangeMin,PlannedRangeMax,ActualGaylord,ActualRangeMin,ActualRangeMax,IsCorrect,SpawnTime,LandingTime
1,384,SortPoint_10_Left,358,393,SortPoint_10_Left,358,393,True,0.398,10.540
2,561,SortPoint_15_Right,537,571,SortPoint_15_Right,537,571,True,0.800,12.020
3,394,SortPoint_11_Right,394,429,SortPoint_11_Right,394,429,True,1.201,11.740
4,83,SortPoint_2_Left,72,107,SortPoint_2_Left,72,107,True,1.610,10.300
5,580,SortPoint_16_Left,572,607,SortPoint_16_Left,572,607,True,2.013,13.980
6,322,SortPoint_9_Right,322,357,SortPoint_9_Right,322,357,True,2.420,12.580
7,122,SortPoint_3_Right,108,143,,,,,2.833,
8,434,SortPoint_12_Left,430,464,SortPoint_12_Left,430,464,True,3.239,14.600
9,582,SortPoint_16_Left,572,607,SortPoint_16_Left,572,607,True,3.646,16.300
10,153,SortPoint_4_Left,144,179,SortPoint_4_Left,144,179,True,4.051,13.640
11,309,SortPoint_8_Left,287,321,SortPoint_8_Left,287,321,True,4.457,15.220
12,311,SortPoint_8_Left,287,321,SortPoint_8_Left,287,321,True,4.862,15.940
13,60,SortPoint_1_Right,37,71,SortPoint_1_Right,37,71,True,5.267,14.700
14,778,SortPoint_21_Right,751,786,SortPoint_21_Right,751,786,True,5.674,19.560
15,736,SortPoint_20_Left,715,750,SortPoint_20_Left,715,750,True,6.080,20.240
16,210,SortPoint_5_Right,180,214,SortPoint_5_Right,180,214,True,6.485,16.980
17,474,SortPoint_13_Right,465,500,SortPoint_13_Right,465,500,True,6.892,19.560
18,799,SortPoint_22_Left,787,821,SortPoint_22_Left,787,821,True,7.296,22.540
19,354,SortPoint_9_Right,322,357,SortPoint_9_Right,322,357,True,7.702,19.840
20,61,SortPoint_1_Right,37,71,SortPoint_1_Right,37,71,True,8.111,18.740
21,237,SortPoint_6_Left,215,250,SortPoint_6_Left,215,250,True,8.521,20.400
22,267,SortPoint_7_Right,251,286,SortPoint_7_Right,251,286,True,8.927,20.820
23,717,SortPoint_20_Left,715,750,SortPoint_20_Left,715,750,True,9.334,24.640
24,852,SortPoint_23_Right,822,857,SortPoint_23_Right,822,857,True,9.741,26.660
25,656,SortPoint_18_Left,644,679,SortPoint_18_Left,644,679,True,10.147,24.660
26,701,SortPoint_19_Right,680,714,SortPoint_19_Right,680,714,True,10.554,25.180
27,677,SortPoint_18_Left,644,679,,,,,10.962,
28,286,SortPoint_7_Right,251,286,,,,,11.371,
29,353,SortPoint_9_Right,322,357,,,,,11.779,
30,546,SortPoint_15_Right,537,571,SortPoint_15_Right,537,571,True,12.186,27.800
31,70,SortPoint_1_Right,37,71,SortPoint_1_Right,37,71,True,12.593,25.540
32,963,SortPoint_26_Left,930,964,,,,,12.999,
33,671,SortPoint_18_Left,644,679,,,,,13.406,
34,441,SortPoint_12_Left,430,464,,,,,13.817,
35,793,SortPoint_22_Left,787,821,,,,,14.226,
36,816,SortPoint_22_Left,787,821,,,,,14.641,
37,637,SortPoint_17_Right,608,643,,,,,15.042,
38,625,SortPoint_17_Right,608,643,,,,,15.449,
39,598,SortPoint_16_Left,572,607,,,,,15.856,
40,772,SortPoint_21_Right,751,786,,,,,16.282,
41,38,SortPoint_1_Right,37,71,,,,,16.704,
42,216,SortPoint_6_Left,215,250,,,,,17.113,
43,787,SortPoint_22_Left,787,821,,,,,17.520,
44,937,SortPoint_26_Left,930,964,,,,,17.928,
45,322,SortPoint_9_Right,322,357,,,,,18.345,
46,715,SortPoint_20_Left,715,750,,,,,18.747,
47,634,SortPoint_17_Right,608,643,,,,,19.158,
48,3,SortPoint_0_Left,1,36,,,,,19.559,
49,465,SortPoint_13_Right,465,500,,,,,19.969,
50,610,SortPoint_17_Right,608,643,,,,,20.392,
51,404,SortPoint_11_Right,394,429,,,,,20.792,
52,550,SortPoint_15_Right,537,571,,,,,21.202,
53,521,SortPoint_14_Left,501,536,,,,,21.624,
54,432,SortPoint_12_Left,430,464,,,,,22.045,
55,854,SortPoint_23_Right,822,857,,,,,22.450,
56,746,SortPoint_20_Left,715,750,,,,,22.860,
57,447,SortPoint_12_Left,430,464,,,,,23.273,
58,624,SortPoint_17_Right,608,643,,,,,23.681,
59,11,SortPoint_0_Left,1,36,,,,,24.090,
60,163,SortPoint_4_Left,144,179,,,,,24.502,
61,976,SortPoint_27_Right,965,1000,,,,,24.912,
62,827,SortPoint_23_Right,822,857,,,,,25.324,
63,714,SortPoint_19_Right,680,714,,,,,25.735,
64,768,SortPoint_21_Right,751,786,,,,,26.144,
65,391,SortPoint_10_Left,358,393,,,,,26.553,
66,331,SortPoint_9_Right,322,357,,,,,26.965,
67,470,SortPoint_13_Right,465,500,,,,,27.370,
68,999,SortPoint_27_Right,965,1000,,,,,27.775,
69,756,SortPoint_21_Right,751,786,,,,,28.183,
70,704,SortPoint_19_Right,680,714,,,,,28.592,
