PackageId,Address,PlannedGaylord,PlannedRangeMin,PlannedRangeMax,ActualGaylord,ActualRangeMin,ActualRangeMax,IsCorrect,SpawnTime,LandingTime
1,696,SortPoint_19_Right,680,714,SortPoint_19_Right,680,714,True,0.396,12.360
2,957,SortPoint_26_Left,930,964,SortPoint_26_Left,930,964,True,0.872,14.580
3,937,SortPoint_26_Left,930,964,SortPoint_26_Left,930,964,True,1.346,15.360
4,206,SortPoint_5_Right,180,214,SortPoint_5_Right,180,214,True,1.780,10.820
5,507,SortPoint_14_Left,501,536,SortPoint_14_Left,501,536,True,2.245,13.700
6,146,SortPoint_4_Left,144,179,SortPoint_4_Left,144,179,True,2.713,11.880
7,512,SortPoint_14_Left,501,536,SortPoint_14_Left,501,536,True,3.157,14.860
8,576,SortPoint_16_Left,572,607,SortPoint_16_Left,572,607,True,3.581,16.000
9,161,SortPoint_4_Left,144,179,,,,,4.016,
10,701,SortPoint_19_Right,680,714,,,,,4.446,
11,480,SortPoint_13_Right,465,500,SortPoint_13_Right,465,500,True,4.896,16.520
12,910,SortPoint_25_Right,894,929,SortPoint_25_Right,894,929,True,5.337,19.840
13,27,SortPoint_0_Left,1,36,SortPoint_0_Left,1,36,True,5.799,15.800
14,42,SortPoint_1_Right,37,71,SortPoint_1_Right,37,71,True,6.235,15.860
15,880,SortPoint_24_Left,858,893,,,,,6.673,
16,100,SortPoint_2_Left,72,107,SortPoint_2_Left,72,107,True,7.108,17.420
17,294,SortPoint_8_Left,287,321,SortPoint_8_Left,287,321,True,7.523,18.460
18,349,SortPoint_9_Right,322,357,SortPoint_9_Right,322,357,True,7.994,19.320
19,897,SortPoint_25_Right,894,929,,,,,8.437,
20,786,SortPoint_21_Right,751,786,,,,,8.860,
21,816,SortPoint_22_Left,787,821,,,,,9.291,
22,180,SortPoint_5_Right,180,214,,,,,9.695,
23,469,SortPoint_13_Right,465,500,,,,,10.122,
24,905,SortPoint_25_Right,894,929,,,,,10.567,
25,228,SortPoint_6_Left,215,250,,,,,11.018,
26,921,SortPoint_25_Right,894,929,,,,,11.465,
27,452,SortPoint_12_Left,430,464,,,,,11.912,
28,12,SortPoint_0_Left,1,36,,,,,12.344,
29,251,SortPoint_7_Right,251,286,,,,,12.791,
30,901,SortPoint_25_Right,894,929,,,,,13.250,
31,380,SortPoint_10_Left,358,393,,,,,13.668,
32,253,SortPoint_7_Right,251,286,,,,,14.115,
33,906,SortPoint_25_Right,894,929,,,,,14.555,
34,926,SortPoint_25_Right,894,929,,,,,14.984,
35,517,SortPoint_14_Left,501,536,,,,,15.432,
36,596,SortPoint_16_Left,572,607,,,,,15.858,
37,595,SortPoint_16_Left,572,607,,,,,16.311,
38,902,SortPoint_25_Right,894,929,,,,,16.761,
39,768,SortPoint_21_Right,751,786,,,,,17.173,
40,557,SortPoint_15_Right,537,571,,,,,17.589,
41,822,SortPoint_23_Right,822,857,,,,,18.020,
42,955,SortPoint_26_Left,930,964,,,,,18.485,
43,691,SortPoint_19_Right,680,714,,,,,18.896,
44,587,SortPoint_16_Left,572,607,,,,,19.314,
45,757,SortPoint_21_Right,751,786,,,,,19.767,
46,498,SortPoint_13_Right,465,500,,,,,20.239,
