PackageId,Address,PlannedGaylord,PlannedRangeMin,PlannedRangeMax,ActualGaylord,ActualRangeMin,ActualRangeMax,IsCorrect,SpawnTime,LandingTime
1,739,SortPoint_20_Left,715,750,,,,,0.383,
2,806,SortPoint_22_Left,787,821,,,,,0.799,
3,37,SortPoint_1_Right,37,71,,,,,1.214,
4,430,SortPoint_12_Left,430,464,,,,,1.621,
5,880,SortPoint_24_Left,858,893,,,,,2.022,
6,650,SortPoint_18_Left,644,679,,,,,2.440,
7,423,SortPoint_11_Right,394,429,,,,,2.853,
8,348,SortPoint_9_Right,322,357,,,,,3.274,
9,694,SortPoint_19_Right,680,714,,,,,3.695,
10,219,SortPoint_6_Left,215,250,,,,,4.115,
11,613,SortPoint_17_Right,608,643,,,,,4.537,
12,518,SortPoint_14_Left,501,536,,,,,4.958,
13,689,SortPoint_19_Right,680,714,,,,,5.376,
14,500,SortPoint_13_Right,465,500,,,,,5.797,
15,780,SortPoint_21_Right,751,786,,,,,6.201,
16,113,SortPoint_3_Right,108,143,,,,,6.604,
17,268,SortPoint_7_Right,251,286,,,,,7.004,
18,607,SortPoint_16_Left,572,607,,,,,7.423,
19,45,SortPoint_1_Right,37,71,,,,,7.844,
20,581,SortPoint_16_Left,572,607,,,,,8.261,
21,48,SortPoint_1_Right,37,71,,,,,8.665,
22,391,SortPoint_10_Left,358,393,,,,,9.085,
23,531,SortPoint_14_Left,501,536,,,,,9.501,
24,99,SortPoint_2_Left,72,107,,,,,9.909,
25,61,SortPoint_1_Right,37,71,,,,,10.320,
26,773,SortPoint_21_Right,751,786,,,,,10.725,
27,679,SortPoint_18_Left,644,679,,,,,11.127,
28,640,SortPoint_17_Right,608,643,,,,,11.540,
29,210,SortPoint_5_Right,180,214,,,,,11.961,
30,944,SortPoint_26_Left,930,964,,,,,12.372,
