PackageId,Address,PlannedGaylord,PlannedRangeMin,PlannedRangeMax,ActualGaylord,ActualRangeMin,ActualRangeMax,IsCorrect,SpawnTime,LandingTime
1,865,SortPoint_24_Left,858,893,SortPoint_24_Left,858,893,True,0.439,19.780
2,377,SortPoint_10_Left,358,393,SortPoint_10_Left,358,393,True,0.875,14.060
3,52,SortPoint_1_Right,37,71,SortPoint_3_Right,108,143,False,1.373,10.480
4,814,SortPoint_22_Left,787,821,SortPoint_22_Left,787,821,True,1.806,20.820
5,76,SortPoint_2_Left,72,107,SortPoint_2_Left,72,107,True,2.259,11.760
6,568,SortPoint_15_Right,537,571,SortPoint_15_Right,537,571,True,2.750,18.060
7,130,SortPoint_3_Right,108,143,SortPoint_3_Right,108,143,True,3.177,12.820
8,620,SortPoint_17_Right,608,643,SortPoint_17_Right,608,643,True,3.636,19.860
9,149,SortPoint_4_Left,144,179,SortPoint_4_Left,144,179,True,4.066,14.860
10,89,SortPoint_2_Left,72,107,SortPoint_2_Left,72,107,True,4.494,14.540
11,985,SortPoint_27_Right,965,1000,SortPoint_27_Right,965,1000,True,4.928,26.040
12,407,SortPoint_11_Right,394,429,SortPoint_11_Right,394,429,True,5.365,19.100
13,375,SortPoint_10_Left,358,393,SortPoint_10_Left,358,393,True,5.789,19.640
14,950,SortPoint_26_Left,930,964,SortPoint_26_Left,930,964,True,6.199,27.320
15,964,SortPoint_26_Left,930,964,SortPoint_26_Left,930,964,True,6.645,28.580
16,948,SortPoint_26_Left,930,964,SortPoint_26_Left,930,964,True,7.079,29.380
17,440,SortPoint_12_Left,430,464,SortPoint_12_Left,430,464,True,7.509,24.520
18,305,SortPoint_8_Left,287,321,SortPoint_8_Left,287,321,True,7.931,20.000
19,415,SortPoint_11_Right,394,429,SortPoint_11_Right,394,429,True,8.366,22.380
20,313,SortPoint_8_Left,287,321,SortPoint_8_Left,287,321,True,8.803,22.320
21,213,SortPoint_5_Right,180,214,SortPoint_5_Right,180,214,True,9.231,21.200
22,574,SortPoint_16_Left,572,607,SortPoint_16_Left,572,607,True,9.668,27.200
23,21,SortPoint_0_Left,1,36,SortPoint_2_Left,72,107,False,10.094,21.200
24,125,SortPoint_3_Right,108,143,,,,,10.530,
25,52,SortPoint_1_Right,37,71,SortPoint_3_Right,108,143,False,10.965,22.400
26,416,SortPoint_11_Right,394,429,SortPoint_11_Right,394,429,True,11.411,26.900
27,366,SortPoint_10_Left,358,393,SortPoint_10_Left,358,393,True,11.845,27.420
28,552,SortPoint_15_Right,537,571,SortPoint_15_Right,537,571,True,12.273,29.760
29,806,SortPoint_22_Left,787,821,SortPoint_22_Left,787,821,True,12.710,34.620
30,999,SortPoint_27_Right,965,1000,SortPoint_27_Right,965,1000,True,13.152,35.660
31,599,SortPoint_16_Left,572,607,,,,,13.598,
32,149,SortPoint_4_Left,144,179,SortPoint_4_Left,144,179,True,14.093,27.440
33,147,SortPoint_4_Left,144,179,SortPoint_4_Left,144,179,True,14.563,28.700
34,574,SortPoint_16_Left,572,607,,,,,15.020,
35,202,SortPoint_5_Right,180,214,,,,,15.480,
36,594,SortPoint_16_Left,572,607,SortPoint_16_Left,572,607,True,15.943,34.400
37,239,SortPoint_6_Left,215,250,SortPoint_6_Left,215,250,True,16.398,30.420
38,876,SortPoint_24_Left,858,893,SortPoint_24_Left,858,893,True,16.845,40.020
39,757,SortPoint_21_Right,751,786,SortPoint_21_Right,751,786,True,17.289,39.100
40,103,SortPoint_2_Left,72,107,SortPoint_2_Left,72,107,True,17.731,32.360
41,885,SortPoint_24_Left,858,893,SortPoint_24_Left,858,893,True,18.184,40.360
42,730,SortPoint_20_Left,715,750,SortPoint_20_Left,715,750,True,18.643,37.380
43,439,SortPoint_12_Left,430,464,SortPoint_12_Left,430,464,True,19.091,36.980
44,73,SortPoint_2_Left,72,107,,,,,19.539,
45,481,SortPoint_13_Right,465,500,SortPoint_13_Right,465,500,True,19.984,36.860
46,530,SortPoint_14_Left,501,536,SortPoint_14_Left,501,536,True,20.414,41.740
47,534,SortPoint_14_Left,501,536,SortPoint_14_Left,501,536,True,20.870,43.260
48,342,SortPoint_9_Right,322,357,SortPoint_9_Right,322,357,True,21.299,36.240
49,170,SortPoint_4_Left,144,179,SortPoint_4_Left,144,179,True,21.741,33.820
50,444,SortPoint_12_Left,430,464,SortPoint_12_Left,430,464,True,22.193,38.500
51,713,SortPoint_19_Right,680,714,SortPoint_19_Right,680,714,True,22.652,41.740
52,631,SortPoint_17_Right,608,643,SortPoint_17_Right,608,643,True,23.111,49.300
53,885,SortPoint_24_Left,858,893,,,,,23.591,
54,15,SortPoint_0_Left,1,36,SortPoint_2_Left,72,107,False,24.070,36.660
55,452,SortPoint_12_Left,430,464,SortPoint_12_Left,430,464,True,24.475,43.280
56,335,SortPoint_9_Right,322,357,SortPoint_9_Right,322,357,True,24.937,41.800
57,304,SortPoint_8_Left,287,321,SortPoint_8_Left,287,321,True,25.480,40.560
58,438,SortPoint_12_Left,430,464,SortPoint_12_Left,430,464,True,25.895,44.940
59,96,SortPoint_2_Left,72,107,,,,,26.316,
60,641,SortPoint_17_Right,608,643,SortPoint_17_Right,608,643,True,26.770,49.400
61,141,SortPoint_3_Right,108,143,SortPoint_3_Right,108,143,True,27.217,41.220
62,223,SortPoint_6_Left,215,250,SortPoint_6_Left,215,250,True,27.666,43.540
63,589,SortPoint_16_Left,572,607,,,,,28.128,
64,422,SortPoint_11_Right,394,429,,,,,28.589,
65,406,SortPoint_11_Right,394,429,SortPoint_11_Right,394,429,True,29.035,47.680
66,78,SortPoint_2_Left,72,107,,,,,29.464,
67,513,SortPoint_14_Left,501,536,SortPoint_14_Left,501,536,True,30.012,51.000
68,244,SortPoint_6_Left,215,250,SortPoint_6_Left,215,250,True,30.431,48.140
69,245,SortPoint_6_Left,215,250,SortPoint_6_Left,215,250,True,30.868,47.480
70,499,SortPoint_13_Right,465,500,SortPoint_13_Right,465,500,True,31.326,48.760
71,324,SortPoint_9_Right,322,357,SortPoint_9_Right,322,357,True,31.787,49.900
72,337,SortPoint_9_Right,322,357,SortPoint_9_Right,322,357,True,32.240,51.600
73,829,SortPoint_23_Right,822,857,SortPoint_23_Right,822,857,True,32.705,56.940
74,366,SortPoint_10_Left,358,393,,,,,33.162,
75,911,SortPoint_25_Right,894,929,SortPoint_25_Right,894,929,True,33.621,56.560
76,396,SortPoint_11_Right,394,429,,,,,34.075,
77,958,SortPoint_26_Left,930,964,,,,,34.532,
78,604,SortPoint_16_Left,572,607,SortPoint_16_Left,572,607,True,34.989,56.520
79,483,SortPoint_13_Right,465,500,SortPoint_13_Right,465,500,True,35.448,60.540
80,199,SortPoint_5_Right,180,214,,,,,35.882,
81,290,SortPoint_8_Left,287,321,SortPoint_8_Left,287,321,True,36.301,58.180
82,188,SortPoint_5_Right,180,214,SortPoint_5_Right,180,214,True,36.736,52.280
83,573,SortPoint_16_Left,572,607,SortPoint_16_Left,572,607,True,37.206,60.400
84,505,SortPoint_14_Left,501,536,SortPoint_14_Left,501,536,True,37.668,63.840
85,513,SortPoint_14_Left,501,536,SortPoint_14_Left,501,536,True,38.141,56.180
86,577,SortPoint_16_Left,572,607,,,,,38.615,
87,122,SortPoint_3_Right,108,143,SortPoint_3_Right,108,143,True,39.082,51.060
88,804,SortPoint_22_Left,787,821,SortPoint_22_Left,787,821,True,39.542,64.780
89,725,SortPoint_20_Left,715,750,SortPoint_20_Left,715,750,True,40.007,60.220
90,919,SortPoint_25_Right,894,929,SortPoint_25_Right,894,929,True,40.468,64.980
91,393,SortPoint_10_Left,358,393,,,,,40.930,
92,635,SortPoint_17_Right,608,643,SortPoint_17_Right,608,643,True,41.397,61.580
93,854,SortPoint_23_Right,822,857,SortPoint_23_Right,822,857,True,41.871,67.100
94,708,SortPoint_19_Right,680,714,SortPoint_19_Right,680,714,True,42.345,64.700
95,633,SortPoint_17_Right,608,643,,,,,42.810,
96,437,SortPoint_12_Left,430,464,,,,,43.252,
97,419,SortPoint_11_Right,394,429,,,,,43.738,
98,752,SortPoint_21_Right,751,786,SortPoint_21_Right,751,786,True,44.142,72.580
99,156,SortPoint_4_Left,144,179,,,,,44.619,
100,111,SortPoint_3_Right,108,143,SortPoint_3_Right,108,143,True,45.085,62.020
101,690,SortPoint_19_Right,680,714,,,,,45.529,
102,805,SortPoint_22_Left,787,821,SortPoint_22_Left,787,821,True,45.997,71.620
103,973,SortPoint_27_Right,965,1000,SortPoint_27_Right,965,1000,True,46.449,74.480
104,104,SortPoint_2_Left,72,107,,,,,46.930,
105,392,SortPoint_10_Left,358,393,SortPoint_10_Left,358,393,True,47.362,67.600
106,88,SortPoint_2_Left,72,107,,,,,47.793,
107,244,SortPoint_6_Left,215,250,,,,,48.279,
108,447,SortPoint_12_Left,430,464,,,,,48.750,
109,413,SortPoint_11_Right,394,429,,,,,49.211,
110,430,SortPoint_12_Left,430,464,,,,,49.709,
111,750,SortPoint_20_Left,715,750,,,,,50.182,
112,294,SortPoint_8_Left,287,321,,,,,50.689,
113,411,SortPoint_11_Right,394,429,SortPoint_11_Right,394,429,True,51.172,69.080
114,713,SortPoint_19_Right,680,714,SortPoint_19_Right,680,714,True,51.652,74.140
115,255,SortPoint_7_Right,251,286,SortPoint_7_Right,251,286,True,52.134,69.960
116,837,SortPoint_23_Right,822,857,,,,,52.622,
117,292,SortPoint_8_Left,287,321,SortPoint_8_Left,287,321,True,53.108,70.400
118,522,SortPoint_14_Left,501,536,SortPoint_14_Left,501,536,True,53.585,75.020
119,699,SortPoint_19_Right,680,714,,,,,54.050,
120,317,SortPoint_8_Left,287,321,,,,,54.531,
121,490,SortPoint_13_Right,465,500,,,,,54.967,
122,170,SortPoint_4_Left,144,179,,,,,55.482,
123,512,SortPoint_14_Left,501,536,,,,,55.895,
124,374,SortPoint_10_Left,358,393,,,,,56.380,
125,888,SortPoint_24_Left,858,893,,,,,56.877,
126,339,SortPoint_9_Right,322,357,,,,,57.306,
127,535,SortPoint_14_Left,501,536,,,,,57.760,
128,48,SortPoint_1_Right,37,71,,,,,58.249,
129,627,SortPoint_17_Right,608,643,,,,,58.740,
130,684,SortPoint_19_Right,680,714,,,,,59.227,
131,373,SortPoint_10_Left,358,393,,,,,59.716,
132,29,SortPoint_0_Left,1,36,,,,,60.186,
133,141,SortPoint_3_Right,108,143,,,,,60.686,
134,68,SortPoint_1_Right,37,71,,,,,61.149,
135,720,SortPoint_20_Left,715,750,,,,,61.554,
136,270,SortPoint_7_Right,251,286,,,,,62.006,
137,843,SortPoint_23_Right,822,857,,,,,62.495,
138,449,SortPoint_12_Left,430,464,,,,,62.927,
139,713,SortPoint_19_Right,680,714,,,,,63.421,
140,403,SortPoint_11_Right,394,429,,,,,63.838,
141,56,SortPoint_1_Right,37,71,,,,,64.298,
142,600,SortPoint_16_Left,572,607,,,,,64.809,
143,173,SortPoint_4_Left,144,179,,,,,65.323,
144,619,SortPoint_17_Right,608,643,,,,,65.819,
145,218,SortPoint_6_Left,215,250,,,,,66.224,
146,105,SortPoint_2_Left,72,107,,,,,66.750,
147,172,SortPoint_4_Left,144,179,,,,,67.216,
148,466,SortPoint_13_Right,465,500,,,,,67.623,
149,569,SortPoint_15_Right,537,571,,,,,68.072,
150,394,SortPoint_11_Right,394,429,,,,,68.532,
151,606,SortPoint_16_Left,572,607,,,,,68.934,
152,879,SortPoint_24_Left,858,893,,,,,69.379,
153,893,SortPoint_24_Left,858,893,,,,,69.882,
154,189,SortPoint_5_Right,180,214,,,,,70.379,
155,457,SortPoint_12_Left,430,464,,,,,70.842,
156,171,SortPoint_4_Left,144,179,,,,,71.380,
157,440,SortPoint_12_Left,430,464,,,,,71.808,
158,503,SortPoint_14_Left,501,536,,,,,72.256,
159,190,SortPoint_5_Right,180,214,,,,,72.727,
160,107,SortPoint_2_Left,72,107,,,,,73.214,
161,885,SortPoint_24_Left,858,893,,,,,73.664,
162,905,SortPoint_25_Right,894,929,,,,,74.103,
163,335,SortPoint_9_Right,322,357,,,,,74.550,
164,279,SortPoint_7_Right,251,286,,,,,75.002,
