PackageId,Address,PlannedGaylord,PlannedRangeMin,PlannedRangeMax,ActualGaylord,ActualRangeMin,ActualRangeMax,IsCorrect,SpawnTime,LandingTime
1,479,SortPoint_13_Right,465,500,SortPoint_13_Right,465,500,True,0.388,14.420
2,523,SortPoint_14_Left,501,536,SortPoint_14_Left,501,536,True,0.805,15.860
3,653,SortPoint_18_Left,644,679,SortPoint_18_Left,644,679,True,1.286,18.300
4,612,SortPoint_17_Right,608,643,SortPoint_17_Right,608,643,True,1.704,17.760
5,68,SortPoint_1_Right,37,71,SortPoint_3_Right,108,143,False,2.120,11.460
6,622,SortPoint_17_Right,608,643,SortPoint_17_Right,608,643,True,2.523,18.700
7,460,SortPoint_12_Left,430,464,SortPoint_12_Left,430,464,True,2.928,17.400
8,426,SortPoint_11_Right,394,429,SortPoint_11_Right,394,429,True,3.333,16.860
9,939,SortPoint_26_Left,930,964,SortPoint_26_Left,930,964,True,3.743,24.920
10,233,SortPoint_6_Left,215,250,SortPoint_6_Left,215,250,True,4.146,16.620
11,46,SortPoint_1_Right,37,71,SortPoint_3_Right,108,143,False,4.555,17.340
12,455,SortPoint_12_Left,430,464,SortPoint_12_Left,430,464,True,4.966,20.860
13,600,SortPoint_16_Left,572,607,SortPoint_16_Left,572,607,True,5.376,22.660
14,710,SortPoint_19_Right,680,714,SortPoint_19_Right,680,714,True,5.776,24.820
15,896,SortPoint_25_Right,894,929,SortPoint_25_Right,894,929,True,6.188,26.960
16,596,SortPoint_16_Left,572,607,SortPoint_16_Left,572,607,True,6.607,28.720
17,171,SortPoint_4_Left,144,179,SortPoint_4_Left,144,179,True,7.026,21.660
18,176,SortPoint_4_Left,144,179,SortPoint_4_Left,144,179,True,7.446,21.340
19,685,SortPoint_19_Right,680,714,SortPoint_19_Right,680,714,True,7.850,25.140
20,310,SortPoint_8_Left,287,321,SortPoint_8_Left,287,321,True,8.268,21.640
21,267,SortPoint_7_Right,251,286,SortPoint_7_Right,251,286,True,8.679,20.380
22,890,SortPoint_24_Left,858,893,SortPoint_24_Left,858,893,True,9.094,31.320
23,798,SortPoint_22_Left,787,821,SortPoint_22_Left,787,821,True,9.529,28.460
24,198,SortPoint_5_Right,180,214,SortPoint_5_Right,180,214,True,9.932,20.780
25,583,SortPoint_16_Left,572,607,SortPoint_16_Left,572,607,True,10.363,29.980
26,969,SortPoint_27_Right,965,1000,SortPoint_27_Right,965,1000,True,10.769,33.580
27,134,SortPoint_3_Right,108,143,SortPoint_3_Right,108,143,True,11.178,24.300
28,205,SortPoint_5_Right,180,214,SortPoint_5_Right,180,214,True,11.586,24.600
29,37,SortPoint_1_Right,37,71,,,,,12.010,
30,542,SortPoint_15_Right,537,571,SortPoint_15_Right,537,571,True,12.425,37.580
31,424,SortPoint_11_Right,394,429,SortPoint_11_Right,394,429,True,12.835,32.440
32,3,SortPoint_0_Left,1,36,SortPoint_2_Left,72,107,False,13.244,24.320
33,172,SortPoint_4_Left,144,179,SortPoint_4_Left,144,179,True,13.653,26.660
34,713,SortPoint_19_Right,680,714,SortPoint_19_Right,680,714,True,14.064,32.940
35,33,SortPoint_0_Left,1,36,SortPoint_2_Left,72,107,False,14.471,26.160
36,166,SortPoint_4_Left,144,179,,,,,14.882,
37,650,SortPoint_18_Left,644,679,SortPoint_18_Left,644,679,True,15.303,34.840
38,257,SortPoint_7_Right,251,286,SortPoint_7_Right,251,286,True,15.717,29.780
39,252,SortPoint_7_Right,251,286,SortPoint_7_Right,251,286,True,16.129,31.720
40,960,SortPoint_26_Left,930,964,SortPoint_26_Left,930,964,True,16.542,42.200
41,657,SortPoint_18_Left,644,679,SortPoint_18_Left,644,679,True,16.957,36.460
42,973,SortPoint_27_Right,965,1000,SortPoint_27_Right,965,1000,True,17.369,41.100
43,712,SortPoint_19_Right,680,714,,,,,17.782,
44,264,SortPoint_7_Right,251,286,SortPoint_7_Right,251,286,True,18.195,32.520
45,206,SortPoint_5_Right,180,214,,,,,18.608,
46,766,SortPoint_21_Right,751,786,SortPoint_21_Right,751,786,True,19.025,40.100
47,13,SortPoint_0_Left,1,36,SortPoint_2_Left,72,107,False,19.438,39.940
48,905,SortPoint_25_Right,894,929,SortPoint_25_Right,894,929,True,19.846,43.840
49,6,SortPoint_0_Left,1,36,SortPoint_2_Left,72,107,False,20.262,34.100
50,703,SortPoint_19_Right,680,714,,,,,20.676,
51,317,SortPoint_8_Left,287,321,SortPoint_8_Left,287,321,True,21.089,39.640
52,414,SortPoint_11_Right,394,429,SortPoint_11_Right,394,429,True,21.503,42.900
53,658,SortPoint_18_Left,644,679,,,,,21.916,
54,985,SortPoint_27_Right,965,1000,SortPoint_27_Right,965,1000,True,22.332,47.780
55,589,SortPoint_16_Left,572,607,,,,,22.748,
56,541,SortPoint_15_Right,537,571,SortPoint_15_Right,537,571,True,23.161,44.040
57,984,SortPoint_27_Right,965,1000,SortPoint_27_Right,965,1000,True,23.576,50.720
58,98,SortPoint_2_Left,72,107,SortPoint_4_Left,144,179,False,23.991,41.300
59,312,SortPoint_8_Left,287,321,,,,,24.405,
