PackageId,Address,PlannedGaylord,PlannedRangeMin,PlannedRangeMax,ActualGaylord,ActualRangeMin,ActualRangeMax,IsCorrect,SpawnTime,LandingTime
1,861,SortPoint_24_Left,858,893,,,,,0.388,
2,605,SortPoint_16_Left,572,607,,,,,0.802,
3,519,SortPoint_14_Left,501,536,,,,,1.203,
4,966,SortPoint_27_Right,965,1000,,,,,1.617,
5,914,SortPoint_25_Right,894,929,,,,,2.021,
6,995,SortPoint_27_Right,965,1000,,,,,2.433,
7,251,SortPoint_7_Right,251,286,,,,,2.836,
8,533,SortPoint_14_Left,501,536,,,,,3.240,
9,808,SortPoint_22_Left,787,821,,,,,3.649,
10,111,SortPoint_3_Right,108,143,,,,,4.051,
11,762,SortPoint_21_Right,751,786,,,,,4.468,
12,550,SortPoint_15_Right,537,571,,,,,4.871,
13,776,SortPoint_21_Right,751,786,,,,,5.274,
14,849,SortPoint_23_Right,822,857,,,,,5.687,
15,613,SortPoint_17_Right,608,643,,,,,6.088,
16,306,SortPoint_8_Left,287,321,,,,,6.501,
17,570,SortPoint_15_Right,537,571,,,,,6.911,
18,554,SortPoint_15_Right,537,571,,,,,7.315,
19,29,SortPoint_0_Left,1,36,,,,,7.732,
20,730,SortPoint_20_Left,715,750,,,,,8.140,
21,53,SortPoint_1_Right,37,71,,,,,8.544,
22,273,SortPoint_7_Right,251,286,,,,,8.948,
23,466,SortPoint_13_Right,465,500,,,,,9.354,
24,418,SortPoint_11_Right,394,429,,,,,9.767,
25,429,SortPoint_11_Right,394,429,,,,,10.175,
26,498,SortPoint_13_Right,465,500,,,,,10.585,
27,76,SortPoint_2_Left,72,107,,,,,10.995,
28,283,SortPoint_7_Right,251,286,,,,,11.405,
29,711,SortPoint_19_Right,680,714,,,,,11.814,
30,268,SortPoint_7_Right,251,286,,,,,12.228,
31,622,SortPoint_17_Right,608,643,,,,,12.639,
32,420,SortPoint_11_Right,394,429,,,,,13.050,
33,162,SortPoint_4_Left,144,179,,,,,13.464,
34,234,SortPoint_6_Left,215,250,,,,,13.870,
35,794,SortPoint_22_Left,787,821,,,,,14.286,
36,808,SortPoint_22_Left,787,821,,,,,14.690,
37,718,SortPoint_20_Left,715,750,,,,,15.104,
38,809,SortPoint_22_Left,787,821,,,,,15.505,
39,977,SortPoint_27_Right,965,1000,,,,,15.906,
40,541,SortPoint_15_Right,537,571,,,,,16.308,
41,367,SortPoint_10_Left,358,393,,,,,16.712,
42,241,SortPoint_6_Left,215,250,,,,,17.119,
43,358,SortPoint_10_Left,358,393,,,,,17.522,
44,65,SortPoint_1_Right,37,71,,,,,17.923,
45,620,SortPoint_17_Right,608,643,,,,,18.334,
46,204,SortPoint_5_Right,180,214,,,,,18.738,
47,245,SortPoint_6_Left,215,250,,,,,19.148,
48,767,SortPoint_21_Right,751,786,,,,,19.573,
49,472,SortPoint_13_Right,465,500,,,,,19.983,
50,951,SortPoint_26_Left,930,964,,,,,20.572,
51,430,SortPoint_12_Left,430,464,,,,,20.984,
52,899,SortPoint_25_Right,894,929,,,,,21.386,
53,547,SortPoint_15_Right,537,571,,,,,21.895,
54,963,SortPoint_26_Left,930,964,,,,,22.302,
55,287,SortPoint_8_Left,287,321,,,,,22.716,
56,534,SortPoint_14_Left,501,536,,,,,23.130,
57,773,SortPoint_21_Right,751,786,,,,,23.543,
58,311,SortPoint_8_Left,287,321,,,,,23.952,
59,627,SortPoint_17_Right,608,643,,,,,24.366,
60,209,SortPoint_5_Right,180,214,,,,,24.781,
61,85,SortPoint_2_Left,72,107,,,,,25.194,
62,352,SortPoint_9_Right,322,357,,,,,25.607,
63,922,SortPoint_25_Right,894,929,,,,,26.023,
64,940,SortPoint_26_Left,930,964,,,,,26.428,
65,339,SortPoint_9_Right,322,357,,,,,26.830,
66,190,SortPoint_5_Right,180,214,,,,,27.235,
67,976,SortPoint_27_Right,965,1000,,,,,27.639,
68,531,SortPoint_14_Left,501,536,,,,,28.044,
69,289,SortPoint_8_Left,287,321,,,,,28.449,
70,19,SortPoint_0_Left,1,36,,,,,28.859,
71,842,SortPoint_23_Right,822,857,,,,,29.269,
72,422,SortPoint_11_Right,394,429,,,,,29.681,
73,849,SortPoint_23_Right,822,857,,,,,30.092,
74,415,SortPoint_11_Right,394,429,,,,,30.503,
75,560,SortPoint_15_Right,537,571,,,,,30.915,
76,35,SortPoint_0_Left,1,36,,,,,31.326,
77,198,SortPoint_5_Right,180,214,,,,,31.733,
78,926,SortPoint_25_Right,894,929,,,,,32.140,
79,822,SortPoint_23_Right,822,857,,,,,32.546,
80,189,SortPoint_5_Right,180,214,,,,,32.956,
81,205,SortPoint_5_Right,180,214,,,,,33.368,
82,33,SortPoint_0_Left,1,36,,,,,33.781,
83,678,SortPoint_18_Left,644,679,,,,,34.195,
84,857,SortPoint_23_Right,822,857,,,,,34.614,
85,654,SortPoint_18_Left,644,679,,,,,35.015,
86,790,SortPoint_22_Left,787,821,,,,,35.427,
87,527,SortPoint_14_Left,501,536,,,,,35.851,
88,551,SortPoint_15_Right,537,571,,,,,36.256,
89,645,SortPoint_18_Left,644,679,,,,,36.670,
90,651,SortPoint_18_Left,644,679,,,,,37.084,
91,750,SortPoint_20_Left,715,750,,,,,37.504,
92,10,SortPoint_0_Left,1,36,,,,,37.907,
93,512,SortPoint_14_Left,501,536,,,,,38.321,
94,506,SortPoint_14_Left,501,536,,,,,38.722,
95,696,SortPoint_19_Right,680,714,,,,,39.137,
96,570,SortPoint_15_Right,537,571,,,,,39.547,
97,596,SortPoint_16_Left,572,607,,,,,39.954,
98,574,SortPoint_16_Left,572,607,,,,,40.360,
99,745,SortPoint_20_Left,715,750,,,,,40.767,
