PackageId,Address,PlannedGaylord,PlannedRangeMin,PlannedRangeMax,ActualGaylord,ActualRangeMin,ActualRangeMax,IsCorrect,SpawnTime,LandingTime
1,975,SortPoint_19_Right,951,1000,,,,,0.457,
2,274,SortPoint_5_Right,251,300,,,,,0.911,
3,852,SortPoint_17_Right,851,900,SortPoint_23_Right,822,857,False,1.351,17.680
4,933,SortPoint_26_Left,930,964,,,,,1.799,
5,482,SortPoint_13_Right,465,500,,,,,2.242,
6,105,SortPoint_2_Left,72,107,SortPoint_0_Left,1,36,False,2.693,11.400
7,55,SortPoint_1_Right,51,100,SortPoint_1_Right,37,71,True,3.150,11.980
8,494,SortPoint_13_Right,465,500,,,,,3.613,
9,365,SortPoint_7_Right,351,400,,,,,4.097,
10,641,SortPoint_12_Left,601,650,,,,,4.585,
11,277,SortPoint_5_Right,251,300,,,,,5.067,
12,964,SortPoint_19_Right,951,1000,SortPoint_26_Left,930,964,False,5.549,20.440
13,776,SortPoint_21_Right,751,786,,,,,6.008,
14,891,SortPoint_24_Left,858,893,SortPoint_24_Left,858,893,True,6.467,20.660
15,167,SortPoint_3_Right,151,200,SortPoint_4_Left,144,179,False,6.926,16.920
16,302,SortPoint_8_Left,287,321,SortPoint_8_Left,287,321,True,7.385,18.180
17,243,SortPoint_6_Left,215,250,,,,,7.841,
18,716,SortPoint_20_Left,715,750,SortPoint_20_Left,715,750,True,8.305,22.160
19,898,SortPoint_25_Right,894,929,SortPoint_25_Right,894,929,True,8.778,23.860
20,906,SortPoint_25_Right,894,929,,,,,9.254,
21,227,SortPoint_6_Left,215,250,SortPoint_6_Left,215,250,True,9.709,20.200
22,56,SortPoint_1_Right,51,100,SortPoint_1_Right,37,71,True,10.167,19.340
23,850,SortPoint_16_Left,801,850,,,,,10.621,
24,879,SortPoint_24_Left,858,893,,,,,11.071,
25,504,SortPoint_14_Left,501,536,,,,,11.530,
26,477,SortPoint_13_Right,465,500,SortPoint_13_Right,465,500,True,11.983,23.980
27,263,SortPoint_5_Right,251,300,SortPoint_7_Right,251,286,False,12.455,23.040
28,426,SortPoint_11_Right,394,429,,,,,12.925,
29,991,SortPoint_19_Right,951,1000,,,,,13.397,
30,425,SortPoint_11_Right,394,429,SortPoint_11_Right,394,429,True,13.873,25.200
31,16,SortPoint_0_Left,1,36,,,,,14.348,
32,951,SortPoint_19_Right,951,1000,,,,,14.820,
33,855,SortPoint_17_Right,851,900,,,,,15.293,
34,278,SortPoint_5_Right,251,300,,,,,15.750,
35,696,SortPoint_13_Right,651,700,,,,,16.205,
36,594,SortPoint_11_Right,551,600,,,,,16.690,
37,236,SortPoint_6_Left,215,250,,,,,17.167,
38,788,SortPoint_22_Left,787,821,,,,,17.650,
39,216,SortPoint_6_Left,215,250,,,,,18.151,
40,197,SortPoint_5_Right,180,214,,,,,18.604,
41,434,SortPoint_12_Left,430,464,,,,,19.073,
42,974,SortPoint_19_Right,951,1000,,,,,19.534,
43,124,SortPoint_3_Right,108,143,,,,,19.992,
44,408,SortPoint_11_Right,394,429,,,,,20.454,
45,395,SortPoint_7_Right,351,400,,,,,20.918,
46,811,SortPoint_22_Left,787,821,,,,,21.369,
47,759,SortPoint_21_Right,751,786,,,,,21.847,
48,670,SortPoint_18_Left,644,679,,,,,22.289,
49,381,SortPoint_7_Right,351,400,,,,,22.751,
50,312,SortPoint_8_Left,287,321,,,,,23.210,
51,722,SortPoint_20_Left,715,750,,,,,23.671,
52,537,SortPoint_15_Right,537,571,,,,,24.142,
53,840,SortPoint_16_Left,801,850,,,,,24.599,
54,68,SortPoint_1_Right,51,100,,,,,25.059,
55,614,SortPoint_12_Left,601,650,,,,,25.517,
56,360,SortPoint_7_Right,351,400,,,,,25.973,
57,595,SortPoint_11_Right,551,600,,,,,26.432,
58,255,SortPoint_5_Right,251,300,,,,,26.912,
59,161,SortPoint_3_Right,151,200,,,,,27.328,
