PackageId,Address,PlannedGaylord,PlannedRangeMin,PlannedRangeMax,ActualGaylord,ActualRangeMin,ActualRangeMax,IsCorrect,SpawnTime,LandingTime
1,22,SortPoint_0_Left,1,36,SortPoint_2_Left,72,107,False,0.393,8.940
2,688,SortPoint_19_Right,680,714,SortPoint_19_Right,680,714,True,0.856,13.120
3,981,SortPoint_27_Right,965,1000,SortPoint_27_Right,965,1000,True,1.308,15.520
4,446,SortPoint_12_Left,430,464,SortPoint_12_Left,430,464,True,1.834,12.800
5,604,SortPoint_16_Left,572,607,SortPoint_16_Left,572,607,True,2.313,14.400
6,150,SortPoint_4_Left,144,179,SortPoint_4_Left,144,179,True,2.793,12.080
7,897,SortPoint_25_Right,894,929,SortPoint_25_Right,894,929,True,3.207,17.340
8,123,SortPoint_3_Right,108,143,SortPoint_3_Right,108,143,True,3.669,12.700
9,767,SortPoint_21_Right,751,786,SortPoint_21_Right,751,786,True,4.097,17.460
10,13,SortPoint_0_Left,1,36,SortPoint_2_Left,72,107,False,4.575,13.980
11,11,SortPoint_0_Left,1,36,,,,,5.045,
12,91,SortPoint_2_Left,72,107,,,,,5.494,
13,284,SortPoint_7_Right,251,286,SortPoint_7_Right,251,286,True,5.940,16.480
14,966,SortPoint_27_Right,965,1000,SortPoint_27_Right,965,1000,True,6.409,21.700
15,639,SortPoint_17_Right,608,643,SortPoint_17_Right,608,643,True,6.886,19.760
16,384,SortPoint_10_Left,358,393,SortPoint_10_Left,358,393,True,7.303,18.880
17,999,SortPoint_27_Right,965,1000,,,,,7.720,
18,295,SortPoint_8_Left,287,321,SortPoint_8_Left,287,321,True,8.170,20.020
19,996,SortPoint_27_Right,965,1000,,,,,8.611,
20,968,SortPoint_27_Right,965,1000,,,,,9.051,
21,320,SortPoint_8_Left,287,321,,,,,9.481,
22,140,SortPoint_3_Right,108,143,SortPoint_3_Right,108,143,True,9.923,20.460
23,681,SortPoint_19_Right,680,714,SortPoint_19_Right,680,714,True,10.370,24.500
24,549,SortPoint_15_Right,537,571,SortPoint_15_Right,537,571,True,10.821,24.100
25,322,SortPoint_9_Right,322,357,SortPoint_9_Right,322,357,True,11.270,23.280
26,260,SortPoint_7_Right,251,286,SortPoint_7_Right,251,286,True,11.729,23.280
27,982,SortPoint_27_Right,965,1000,,,,,12.186,
28,195,SortPoint_5_Right,180,214,SortPoint_5_Right,180,214,True,12.637,24.520
29,118,SortPoint_3_Right,108,143,,,,,13.073,
30,122,SortPoint_3_Right,108,143,,,,,13.490,
31,950,SortPoint_26_Left,930,964,SortPoint_26_Left,930,964,True,13.935,30.160
32,814,SortPoint_22_Left,787,821,SortPoint_22_Left,787,821,True,14.390,30.100
33,902,SortPoint_25_Right,894,929,SortPoint_25_Right,894,929,True,14.833,31.420
34,48,SortPoint_1_Right,37,71,SortPoint_1_Right,37,71,True,15.274,26.580
35,525,SortPoint_14_Left,501,536,SortPoint_14_Left,501,536,True,15.766,30.180
36,99,SortPoint_2_Left,72,107,,,,,16.223,
37,770,SortPoint_21_Right,751,786,SortPoint_21_Right,751,786,True,16.667,32.100
38,404,SortPoint_11_Right,394,429,SortPoint_11_Right,394,429,True,17.116,30.500
39,224,SortPoint_6_Left,215,250,SortPoint_6_Left,215,250,True,17.568,29.960
40,378,SortPoint_10_Left,358,393,,,,,18.015,
41,660,SortPoint_18_Left,644,679,SortPoint_18_Left,644,679,True,18.508,33.720
42,475,SortPoint_13_Right,465,500,SortPoint_13_Right,465,500,True,18.962,32.900
43,584,SortPoint_16_Left,572,607,,,,,19.435,
44,129,SortPoint_3_Right,108,143,,,,,19.845,
45,597,SortPoint_16_Left,572,607,,,,,20.379,
46,973,SortPoint_27_Right,965,1000,,,,,20.846,
47,755,SortPoint_21_Right,751,786,,,,,21.293,
48,714,SortPoint_19_Right,680,714,,,,,21.742,
49,919,SortPoint_25_Right,894,929,,,,,22.195,
50,68,SortPoint_1_Right,37,71,,,,,22.644,
51,642,SortPoint_17_Right,608,643,,,,,23.101,
52,333,SortPoint_9_Right,322,357,,,,,23.579,
53,307,SortPoint_8_Left,287,321,,,,,24.052,
54,750,SortPoint_20_Left,715,750,,,,,24.504,
55,906,SortPoint_25_Right,894,929,,,,,24.915,
56,775,SortPoint_21_Right,751,786,,,,,25.375,
57,477,SortPoint_13_Right,465,500,,,,,25.858,
58,973,SortPoint_27_Right,965,1000,,,,,26.325,
59,138,SortPoint_3_Right,108,143,,,,,26.754,
60,68,SortPoint_1_Right,37,71,,,,,27.172,
61,144,SortPoint_4_Left,144,179,,,,,27.618,
62,611,SortPoint_17_Right,608,643,,,,,28.139,
63,475,SortPoint_13_Right,465,500,,,,,28.596,
64,32,SortPoint_0_Left,1,36,,,,,29.090,
65,86,SortPoint_2_Left,72,107,,,,,29.635,
66,471,SortPoint_13_Right,465,500,,,,,30.070,
67,376,SortPoint_10_Left,358,393,,,,,30.539,
68,746,SortPoint_20_Left,715,750,,,,,30.946,
69,593,SortPoint_16_Left,572,607,,,,,31.419,
70,186,SortPoint_5_Right,180,214,,,,,31.825,
71,690,SortPoint_19_Right,680,714,,,,,32.315,
72,232,SortPoint_6_Left,215,250,,,,,32.794,
73,403,SortPoint_11_Right,394,429,,,,,33.250,
74,59,SortPoint_1_Right,37,71,,,,,33.729,
75,591,SortPoint_16_Left,572,607,,,,,34.226,
