PackageId,Address,PlannedGaylord,PlannedRangeMin,PlannedRangeMax,ActualGaylord,ActualRangeMin,ActualRangeMax,IsCorrect,SpawnTime,LandingTime
0,301,SortPoint_8_Left,287,321,SortPoint_8_Left,287,321,True,0.000,12.200
1,709,SortPoint_19_Right,680,714,SortPoint_19_Right,680,714,True,0.432,17.260
2,903,SortPoint_25_Right,894,929,SortPoint_25_Right,894,929,True,0.845,20.640
3,710,SortPoint_19_Right,680,714,SortPoint_15_Right,537,571,False,1.259,16.740
4,833,SortPoint_23_Right,822,857,SortPoint_23_Right,822,857,True,1.678,20.560
5,229,SortPoint_6_Left,215,250,SortPoint_6_Left,215,250,True,2.085,13.620
6,320,SortPoint_8_Left,287,321,SortPoint_8_Left,287,321,True,2.503,15.300
7,978,SortPoint_27_Right,965,1000,SortPoint_27_Right,965,1000,True,2.933,23.840
8,395,SortPoint_11_Right,394,429,SortPoint_11_Right,394,429,True,3.402,16.580
9,851,SortPoint_23_Right,822,857,SortPoint_23_Right,822,857,True,3.815,23.140
10,482,SortPoint_13_Right,465,500,SortPoint_13_Right,465,500,True,4.226,19.100
11,537,SortPoint_15_Right,537,571,SortPoint_15_Right,537,571,True,4.640,20.600
12,941,SortPoint_26_Left,930,964,SortPoint_21_Right,751,786,False,5.048,24.260
13,579,SortPoint_16_Left,572,607,SortPoint_12_Left,430,464,False,5.456,19.900
14,949,SortPoint_26_Left,930,964,SortPoint_26_Left,930,964,True,5.870,28.000
15,775,SortPoint_21_Right,751,786,SortPoint_21_Right,751,786,True,6.287,25.700
16,278,SortPoint_7_Right,251,286,SortPoint_7_Right,251,286,True,6.697,20.380
17,951,SortPoint_26_Left,930,964,SortPoint_26_Left,930,964,True,7.100,29.420
18,885,SortPoint_24_Left,858,893,SortPoint_11_Right,394,429,False,7.505,22.280
19,167,SortPoint_4_Left,144,179,SortPoint_4_Left,144,179,True,7.958,20.240
20,743,SortPoint_20_Left,715,750,SortPoint_20_Left,715,750,True,8.475,28.080
21,194,SortPoint_5_Right,180,214,SortPoint_5_Right,180,214,True,8.950,21.340
22,315,SortPoint_8_Left,287,321,SortPoint_8_Left,287,321,True,9.352,23.760
23,300,SortPoint_8_Left,287,321,SortPoint_8_Left,287,321,True,9.772,25.260
24,692,SortPoint_19_Right,680,714,SortPoint_19_Right,680,714,True,10.192,29.840
25,264,SortPoint_7_Right,251,286,SortPoint_7_Right,251,286,True,10.615,24.060
26,523,SortPoint_14_Left,501,536,SortPoint_14_Left,501,536,True,11.056,30.860
27,802,SortPoint_22_Left,787,821,SortPoint_22_Left,787,821,True,11.515,32.300
28,401,SortPoint_11_Right,394,429,SortPoint_11_Right,394,429,True,11.992,27.480
29,373,SortPoint_10_Left,358,393,SortPoint_10_Left,358,393,True,12.407,27.300
30,97,SortPoint_2_Left,72,107,SortPoint_2_Left,72,107,True,12.869,24.560
31,762,SortPoint_21_Right,751,786,SortPoint_21_Right,751,786,True,13.358,36.600
32,874,SortPoint_24_Left,858,893,SortPoint_24_Left,858,893,True,13.777,36.160
33,366,SortPoint_10_Left,358,393,SortPoint_10_Left,358,393,True,14.190,29.360
34,372,SortPoint_10_Left,358,393,,,,,14.601,
35,172,SortPoint_4_Left,144,179,SortPoint_4_Left,144,179,True,15.013,27.500
36,869,SortPoint_24_Left,858,893,SortPoint_24_Left,858,893,True,15.431,37.140
37,89,SortPoint_2_Left,72,107,SortPoint_2_Left,72,107,True,15.856,27.760
38,222,SortPoint_6_Left,215,250,SortPoint_8_Left,287,321,False,16.278,31.160
39,305,SortPoint_8_Left,287,321,SortPoint_8_Left,287,321,True,16.691,91.340
40,931,SortPoint_26_Left,930,964,SortPoint_26_Left,930,964,True,17.104,41.280
41,401,SortPoint_11_Right,394,429,SortPoint_11_Right,394,429,True,17.569,34.140
42,371,SortPoint_10_Left,358,393,SortPoint_10_Left,358,393,True,18.113,34.580
43,220,SortPoint_6_Left,215,250,SortPoint_6_Left,215,250,True,18.599,33.700
44,145,SortPoint_4_Left,144,179,SortPoint_4_Left,144,179,True,19.030,33.620
45,59,SortPoint_1_Right,37,71,SortPoint_1_Right,37,71,True,19.479,31.680
46,41,SortPoint_1_Right,37,71,SortPoint_1_Right,37,71,True,19.967,32.960
47,15,SortPoint_0_Left,1,36,SortPoint_0_Left,1,36,True,20.388,33.680
48,907,SortPoint_25_Right,894,929,SortPoint_18_Left,644,679,False,20.815,40.940
49,298,SortPoint_8_Left,287,321,SortPoint_8_Left,287,321,True,21.222,53.320
50,977,SortPoint_27_Right,965,1000,SortPoint_27_Right,965,1000,True,21.670,46.440
51,846,SortPoint_23_Right,822,857,SortPoint_23_Right,822,857,True,22.136,45.160
52,976,SortPoint_27_Right,965,1000,SortPoint_25_Right,894,929,False,22.600,48.640
53,112,SortPoint_3_Right,108,143,SortPoint_3_Right,108,143,True,23.133,36.160
54,860,SortPoint_24_Left,858,893,SortPoint_24_Left,858,893,True,23.671,48.160
55,687,SortPoint_19_Right,680,714,SortPoint_19_Right,680,714,True,24.173,44.620
56,342,SortPoint_9_Right,322,357,SortPoint_9_Right,322,357,True,24.610,39.620
57,268,SortPoint_7_Right,251,286,SortPoint_7_Right,251,286,True,25.041,41.340
58,282,SortPoint_7_Right,251,286,SortPoint_7_Right,251,286,True,25.490,40.940
59,322,SortPoint_9_Right,322,357,SortPoint_9_Right,322,357,True,25.996,44.760
60,961,SortPoint_26_Left,930,964,,,,,26.434,
61,87,SortPoint_2_Left,72,107,SortPoint_2_Left,72,107,True,26.921,39.880
62,556,SortPoint_15_Right,537,571,SortPoint_15_Right,537,571,True,27.371,47.360
63,324,SortPoint_9_Right,322,357,SortPoint_9_Right,322,357,True,27.811,43.560
64,346,SortPoint_9_Right,322,357,SortPoint_9_Right,322,357,True,28.254,45.640
65,156,SortPoint_4_Left,144,179,SortPoint_4_Left,144,179,True,28.654,43.720
66,253,SortPoint_7_Right,251,286,SortPoint_7_Right,251,286,True,29.140,45.860
67,222,SortPoint_6_Left,215,250,SortPoint_6_Left,215,250,True,29.577,46.280
68,597,SortPoint_16_Left,572,607,SortPoint_16_Left,572,607,True,29.978,49.980
69,975,SortPoint_27_Right,965,1000,SortPoint_27_Right,965,1000,True,30.504,56.180
70,817,SortPoint_22_Left,787,821,SortPoint_22_Left,787,821,True,30.907,54.600
71,361,SortPoint_10_Left,358,393,SortPoint_10_Left,358,393,True,31.400,49.600
72,629,SortPoint_17_Right,608,643,SortPoint_17_Right,608,643,True,31.942,52.680
73,82,SortPoint_2_Left,72,107,SortPoint_2_Left,72,107,True,32.494,47.020
74,117,SortPoint_3_Right,108,143,SortPoint_3_Right,108,143,True,32.995,47.360
75,883,SortPoint_24_Left,858,893,SortPoint_24_Left,858,893,True,33.432,58.500
76,974,SortPoint_27_Right,965,1000,,,,,33.929,
77,950,SortPoint_26_Left,930,964,,,,,34.340,
78,515,SortPoint_14_Left,501,536,SortPoint_14_Left,501,536,True,34.890,54.200
79,87,SortPoint_2_Left,72,107,SortPoint_2_Left,72,107,True,35.434,51.200
80,20,SortPoint_0_Left,1,36,SortPoint_0_Left,1,36,True,35.835,49.140
81,301,SortPoint_8_Left,287,321,SortPoint_8_Left,287,321,True,36.343,53.600
82,955,SortPoint_26_Left,930,964,SortPoint_26_Left,930,964,True,36.758,64.400
83,17,SortPoint_0_Left,1,36,SortPoint_0_Left,1,36,True,37.264,51.820
84,557,SortPoint_15_Right,537,571,SortPoint_15_Right,537,571,True,37.766,57.040
85,982,SortPoint_27_Right,965,1000,,,,,38.199,
86,674,SortPoint_18_Left,644,679,SortPoint_18_Left,644,679,True,38.654,60.820
87,776,SortPoint_21_Right,751,786,SortPoint_21_Right,751,786,True,39.192,63.300
88,586,SortPoint_16_Left,572,607,SortPoint_16_Left,572,607,True,39.599,63.180
89,632,SortPoint_17_Right,608,643,SortPoint_17_Right,608,643,True,40.005,61.460
90,988,SortPoint_27_Right,965,1000,SortPoint_27_Right,965,1000,True,40.438,68.580
91,915,SortPoint_25_Right,894,929,SortPoint_25_Right,894,929,True,40.931,65.840
92,582,SortPoint_16_Left,572,607,SortPoint_16_Left,572,607,True,41.431,61.220
93,948,SortPoint_26_Left,930,964,SortPoint_26_Left,930,964,True,41.861,67.680
94,876,SortPoint_24_Left,858,893,,,,,42.400,
95,356,SortPoint_9_Right,322,357,SortPoint_9_Right,322,357,True,42.961,302.260
96,89,SortPoint_2_Left,72,107,,,,,43.517,
97,922,SortPoint_25_Right,894,929,,,,,44.027,
98,628,SortPoint_17_Right,608,643,SortPoint_17_Right,608,643,True,44.531,67.920
99,304,SortPoint_8_Left,287,321,SortPoint_10_Left,358,393,False,44.969,63.020
100,931,SortPoint_26_Left,930,964,SortPoint_26_Left,930,964,True,45.417,72.600
101,425,SortPoint_11_Right,394,429,SortPoint_11_Right,394,429,True,45.846,296.620
102,448,SortPoint_12_Left,430,464,SortPoint_12_Left,430,464,True,46.352,69.360
103,88,SortPoint_2_Left,72,107,,,,,46.856,
104,352,SortPoint_9_Right,322,357,SortPoint_9_Right,322,357,True,47.288,66.940
105,142,SortPoint_3_Right,108,143,SortPoint_3_Right,108,143,True,47.739,61.600
106,550,SortPoint_15_Right,537,571,,,,,48.185,
107,673,SortPoint_18_Left,644,679,SortPoint_18_Left,644,679,True,48.586,71.060
108,633,SortPoint_17_Right,608,643,SortPoint_17_Right,608,643,True,49.130,71.680
109,631,SortPoint_17_Right,608,643,SortPoint_19_Right,680,714,False,49.637,70.140
110,823,SortPoint_23_Right,822,857,SortPoint_23_Right,822,857,True,50.066,75.380
111,321,SortPoint_8_Left,287,321,,,,,50.588,
112,784,SortPoint_21_Right,751,786,SortPoint_21_Right,751,786,True,51.050,77.280
113,603,SortPoint_16_Left,572,607,SortPoint_18_Left,644,679,False,51.533,75.760
114,971,SortPoint_27_Right,965,1000,SortPoint_27_Right,965,1000,True,51.949,77.880
115,874,SortPoint_24_Left,858,893,SortPoint_24_Left,858,893,True,52.409,122.940
116,403,SortPoint_11_Right,394,429,SortPoint_11_Right,394,429,True,52.874,75.240
117,229,SortPoint_6_Left,215,250,SortPoint_6_Left,215,250,True,53.275,73.020
118,325,SortPoint_9_Right,322,357,,,,,53.750,
119,606,SortPoint_16_Left,572,607,SortPoint_16_Left,572,607,True,54.165,73.700
120,827,SortPoint_23_Right,822,857,SortPoint_23_Right,822,857,True,54.642,78.960
121,77,SortPoint_2_Left,72,107,,,,,55.042,
122,690,SortPoint_19_Right,680,714,SortPoint_19_Right,680,714,True,55.473,79.960
123,496,SortPoint_13_Right,465,500,SortPoint_13_Right,465,500,True,55.988,77.180
124,384,SortPoint_10_Left,358,393,,,,,56.413,
125,619,SortPoint_17_Right,608,643,SortPoint_17_Right,608,643,True,56.825,81.920
126,722,SortPoint_20_Left,715,750,SortPoint_20_Left,715,750,True,57.272,80.920
127,558,SortPoint_15_Right,537,571,SortPoint_15_Right,537,571,True,57.718,164.660
128,428,SortPoint_11_Right,394,429,SortPoint_11_Right,394,429,True,58.191,90.480
129,762,SortPoint_21_Right,751,786,SortPoint_17_Right,608,643,False,58.667,82.700
130,316,SortPoint_8_Left,287,321,,,,,59.124,
131,923,SortPoint_25_Right,894,929,SortPoint_25_Right,894,929,True,59.591,89.060
132,59,SortPoint_1_Right,37,71,,,,,60.067,
133,971,SortPoint_27_Right,965,1000,SortPoint_27_Right,965,1000,True,60.488,88.600
134,270,SortPoint_7_Right,251,286,SortPoint_9_Right,322,357,False,60.898,82.580
135,590,SortPoint_16_Left,572,607,SortPoint_16_Left,572,607,True,61.355,88.740
136,482,SortPoint_13_Right,465,500,SortPoint_13_Right,465,500,True,61.761,83.240
137,370,SortPoint_10_Left,358,393,SortPoint_10_Left,358,393,True,62.205,129.600
138,296,SortPoint_8_Left,287,321,,,,,62.616,
139,87,SortPoint_2_Left,72,107,SortPoint_2_Left,72,107,True,63.024,78.140
140,102,SortPoint_2_Left,72,107,SortPoint_2_Left,72,107,True,63.569,80.500
141,443,SortPoint_12_Left,430,464,SortPoint_14_Left,501,536,False,63.989,86.640
142,971,SortPoint_27_Right,965,1000,,,,,64.482,
143,717,SortPoint_20_Left,715,750,SortPoint_20_Left,715,750,True,64.896,92.680
144,802,SortPoint_22_Left,787,821,SortPoint_22_Left,787,821,True,65.302,90.000
145,133,SortPoint_3_Right,108,143,,,,,65.756,
