PackageId,Address,PlannedGaylord,PlannedRangeMin,PlannedRangeMax,ActualGaylord,ActualRangeMin,ActualRangeMax,IsCorrect,SpawnTime,LandingTime
0,609,SortPoint_17_Right,608,643,Gaylord,608,643,False,0.000,15.560
1,962,SortPoint_26_Left,930,964,Gaylord,930,964,False,0.442,20.940
2,846,SortPoint_23_Right,822,857,Gaylord,822,857,False,0.870,19.660
3,305,SortPoint_8_Left,287,321,Gaylord,287,321,False,1.302,13.460
4,320,SortPoint_8_Left,287,321,Gaylord,287,321,False,1.733,13.800
5,736,SortPoint_20_Left,715,750,Gaylord,715,750,False,2.177,19.880
6,227,SortPoint_6_Left,215,250,Gaylord,215,250,False,2.615,14.020
7,697,SortPoint_19_Right,680,714,Gaylord,680,714,False,3.045,20.060
8,207,SortPoint_5_Right,180,214,Gaylord,180,214,False,3.478,14.000
9,336,SortPoint_9_Right,322,357,Gaylord,322,357,False,3.908,16.440
10,462,SortPoint_12_Left,430,464,Gaylord,430,464,False,4.335,19.220
11,189,SortPoint_5_Right,180,214,Gaylord,180,214,False,4.775,15.840
12,727,SortPoint_20_Left,715,750,Gaylord,715,750,False,5.195,23.920
13,825,SortPoint_23_Right,822,857,Gaylord,894,929,False,5.622,25.320
14,126,SortPoint_3_Right,108,143,Gaylord,108,143,False,6.047,16.260
15,114,SortPoint_3_Right,108,143,Gaylord,108,143,False,6.476,16.620
16,361,SortPoint_10_Left,358,393,Gaylord,358,393,False,6.905,21.060
17,148,SortPoint_4_Left,144,179,Gaylord,144,179,False,7.348,18.860
18,482,SortPoint_13_Right,465,500,Gaylord,465,500,False,7.773,23.480
19,353,SortPoint_9_Right,322,357,Gaylord,322,357,False,8.196,21.360
20,682,SortPoint_19_Right,680,714,Gaylord,680,714,False,8.620,28.720
21,968,SortPoint_27_Right,965,1000,Gaylord,965,1000,False,9.045,30.820
22,836,SortPoint_23_Right,822,857,Gaylord,822,857,False,9.471,29.320
23,3,SortPoint_0_Left,1,36,Gaylord,72,107,False,9.896,20.860
24,949,SortPoint_26_Left,930,964,Gaylord,930,964,False,10.328,32.820
25,698,SortPoint_19_Right,680,714,Gaylord,680,714,False,10.767,30.560
26,562,SortPoint_15_Right,537,571,Gaylord,537,571,False,11.209,28.780
27,183,SortPoint_5_Right,180,214,,,,,11.649,
28,274,SortPoint_7_Right,251,286,Gaylord,251,286,False,12.092,24.520
29,649,SortPoint_18_Left,644,679,,,,,12.524,
30,560,SortPoint_15_Right,537,571,Gaylord,537,571,False,12.967,29.140
31,846,SortPoint_23_Right,822,857,Gaylord,822,857,False,13.403,34.580
32,859,SortPoint_24_Left,858,893,Gaylord,858,893,False,13.837,36.240
33,797,SortPoint_22_Left,787,821,Gaylord,715,750,False,14.298,34.040
34,424,SortPoint_11_Right,394,429,Gaylord,394,429,False,14.712,29.940
35,860,SortPoint_24_Left,858,893,Gaylord,858,893,False,15.154,37.060
36,9,SortPoint_0_Left,1,36,Gaylord,72,107,False,15.595,27.380
37,752,SortPoint_21_Right,751,786,Gaylord,822,857,False,16.015,37.740
38,203,SortPoint_5_Right,180,214,Gaylord,180,214,False,16.456,29.400
39,332,SortPoint_9_Right,322,357,Gaylord,322,357,False,16.885,32.860
40,396,SortPoint_11_Right,394,429,Gaylord,465,500,False,17.339,34.560
41,25,SortPoint_0_Left,1,36,Gaylord,72,107,False,17.776,29.500
42,416,SortPoint_11_Right,394,429,,,,,18.224,
43,546,SortPoint_15_Right,537,571,Gaylord,537,571,False,18.667,37.720
44,990,SortPoint_27_Right,965,1000,Gaylord,965,1000,False,19.131,43.640
45,126,SortPoint_3_Right,108,143,,,,,19.553,
46,181,SortPoint_5_Right,180,214,,,,,19.996,
47,261,SortPoint_7_Right,251,286,Gaylord,251,286,False,20.418,54.360
48,230,SortPoint_6_Left,215,250,Gaylord,215,250,False,20.826,36.060
49,43,SortPoint_1_Right,37,71,Gaylord,,,False,21.229,47.060
50,127,SortPoint_3_Right,108,143,Gaylord,108,143,False,21.712,35.740
51,783,SortPoint_21_Right,751,786,Gaylord,751,786,False,22.157,44.020
52,987,SortPoint_27_Right,965,1000,Gaylord,965,1000,False,22.577,124.100
53,87,SortPoint_2_Left,72,107,Gaylord,72,107,False,22.987,37.760
54,36,SortPoint_0_Left,1,36,Gaylord,72,107,False,23.481,36.900
55,935,SortPoint_26_Left,930,964,Gaylord,858,893,False,23.893,47.240
56,377,SortPoint_10_Left,358,393,Gaylord,358,393,False,24.320,42.140
57,464,SortPoint_12_Left,430,464,Gaylord,430,464,False,24.775,43.740
58,492,SortPoint_13_Right,465,500,,,,,25.225,
59,116,SortPoint_3_Right,108,143,,,,,25.674,
60,947,SortPoint_26_Left,930,964,Gaylord,930,964,False,26.125,53.080
61,513,SortPoint_14_Left,501,536,Gaylord,501,536,False,26.579,48.980
62,487,SortPoint_13_Right,465,500,Gaylord,465,500,False,27.026,47.780
63,399,SortPoint_11_Right,394,429,,,,,27.483,
