PackageId,Address,PlannedGaylord,PlannedRangeMin,PlannedRangeMax,ActualGaylord,ActualRangeMin,ActualRangeMax,IsCorrect,SpawnTime,LandingTime
1,511,SortPoint_14_Left,501,536,,,,,0.403,
2,434,SortPoint_12_Left,430,464,,,,,0.823,
3,410,SortPoint_11_Right,394,429,,,,,1.246,
4,493,SortPoint_13_Right,465,500,,,,,1.651,
5,921,SortPoint_25_Right,894,929,,,,,2.056,
6,730,SortPoint_20_Left,715,750,,,,,2.461,
7,539,SortPoint_15_Right,537,571,,,,,2.862,
8,565,SortPoint_15_Right,537,571,,,,,3.263,
9,567,SortPoint_15_Right,537,571,,,,,3.672,
10,933,SortPoint_26_Left,930,964,,,,,4.077,
11,325,SortPoint_9_Right,322,357,,,,,4.478,
12,248,SortPoint_6_Left,215,250,,,,,4.879,
13,777,SortPoint_21_Right,751,786,,,,,5.279,
14,438,SortPoint_12_Left,430,464,,,,,5.684,
15,783,SortPoint_21_Right,751,786,,,,,6.084,
16,453,SortPoint_12_Left,430,464,,,,,6.488,
17,163,SortPoint_4_Left,144,179,,,,,6.893,
18,863,SortPoint_24_Left,858,893,,,,,7.294,
19,731,SortPoint_20_Left,715,750,,,,,7.698,
20,786,SortPoint_21_Right,751,786,,,,,8.101,
21,67,SortPoint_1_Right,37,71,,,,,8.512,
22,837,SortPoint_23_Right,822,857,,,,,8.916,
