PackageId,Address,PlannedGaylord,PlannedRangeMin,PlannedRangeMax,ActualGaylord,ActualRangeMin,ActualRangeMax,IsCorrect,SpawnTime,LandingTime
1,619,SortPoint_17_Right,608,643,,,,,0.436,
2,484,SortPoint_9_Right,451,500,,,,,0.942,
3,455,SortPoint_12_Left,430,464,SortPoint_12_Left,430,464,True,1.416,12.780
4,156,SortPoint_3_Right,151,200,SortPoint_4_Left,144,179,False,1.889,11.840
5,899,SortPoint_25_Right,894,929,,,,,2.359,
6,437,SortPoint_12_Left,430,464,SortPoint_12_Left,430,464,True,2.841,14.940
7,344,SortPoint_9_Right,322,357,,,,,3.316,
8,195,SortPoint_3_Right,151,200,SortPoint_5_Right,180,214,False,3.800,13.460
9,993,SortPoint_19_Right,951,1000,,,,,4.256,
10,277,SortPoint_5_Right,251,300,,,,,4.714,
11,497,SortPoint_9_Right,451,500,,,,,5.173,
12,174,SortPoint_3_Right,151,200,,,,,5.629,
13,263,SortPoint_5_Right,251,300,,,,,6.090,
14,219,SortPoint_6_Left,215,250,,,,,6.548,
15,549,SortPoint_10_Left,501,550,,,,,7.009,
16,284,SortPoint_5_Right,251,300,SortPoint_7_Right,251,286,False,7.466,18.380
17,346,SortPoint_9_Right,322,357,,,,,7.928,
18,598,SortPoint_11_Right,551,600,,,,,8.391,
19,662,SortPoint_18_Left,644,679,,,,,8.861,
20,102,SortPoint_2_Left,72,107,,,,,9.394,
21,735,SortPoint_14_Left,701,750,,,,,10.014,
22,885,SortPoint_24_Left,858,893,,,,,10.560,
23,732,SortPoint_14_Left,701,750,,,,,11.017,
24,619,SortPoint_17_Right,608,643,,,,,11.484,
25,701,SortPoint_14_Left,701,750,,,,,11.943,
26,681,SortPoint_13_Right,651,700,,,,,12.409,
27,859,SortPoint_24_Left,858,893,,,,,12.875,
28,529,SortPoint_10_Left,501,550,,,,,13.344,
29,175,SortPoint_3_Right,151,200,,,,,13.811,
30,910,SortPoint_25_Right,894,929,,,,,14.279,
31,616,SortPoint_17_Right,608,643,,,,,14.738,
32,882,SortPoint_24_Left,858,893,,,,,15.205,
33,72,SortPoint_1_Right,51,100,,,,,15.665,
34,344,SortPoint_9_Right,322,357,,,,,16.126,
35,489,SortPoint_9_Right,451,500,,,,,16.590,
36,425,SortPoint_11_Right,394,429,,,,,17.050,
37,619,SortPoint_17_Right,608,643,,,,,17.514,
38,322,SortPoint_9_Right,322,357,,,,,17.975,
39,677,SortPoint_18_Left,644,679,,,,,18.447,
40,95,SortPoint_1_Right,51,100,,,,,18.996,
41,392,SortPoint_7_Right,351,400,,,,,19.542,
42,917,SortPoint_25_Right,894,929,,,,,20.018,
43,679,SortPoint_18_Left,644,679,,,,,20.489,
44,135,SortPoint_2_Left,101,150,,,,,21.025,
