PackageId,Address,PlannedGaylord,PlannedRangeMin,PlannedRangeMax,ActualGaylord,ActualRangeMin,ActualRangeMax,IsCorrect,SpawnTime,LandingTime
0,39,SortPoint_1_Right,37,71,SortPoint_3_Right,108,143,False,0.000,9.080
1,150,SortPoint_4_Left,144,179,SortPoint_4_Left,144,179,True,0.385,10.800
2,277,SortPoint_7_Right,251,286,SortPoint_7_Right,251,286,True,0.823,12.220
3,613,SortPoint_17_Right,608,643,SortPoint_17_Right,608,643,True,1.254,17.220
4,610,SortPoint_17_Right,608,643,SortPoint_17_Right,608,643,True,1.681,17.980
5,697,SortPoint_19_Right,680,714,SortPoint_19_Right,680,714,True,2.082,19.560
6,689,SortPoint_19_Right,680,714,SortPoint_19_Right,680,714,True,2.549,19.660
7,907,SortPoint_25_Right,894,929,SortPoint_17_Right,608,643,False,3.031,20.600
8,959,SortPoint_26_Left,930,964,SortPoint_26_Left,930,964,True,3.479,23.860
9,509,SortPoint_14_Left,501,536,SortPoint_14_Left,501,536,True,3.929,19.780
10,289,SortPoint_8_Left,287,321,SortPoint_8_Left,287,321,True,4.393,17.460
11,850,SortPoint_23_Right,822,857,SortPoint_12_Left,430,464,False,4.857,20.140
12,100,SortPoint_2_Left,72,107,SortPoint_2_Left,72,107,True,5.302,15.700
13,706,SortPoint_19_Right,680,714,SortPoint_19_Right,680,714,True,5.730,23.520
14,635,SortPoint_17_Right,608,643,,,,,6.163,
15,981,SortPoint_27_Right,965,1000,SortPoint_27_Right,965,1000,True,6.617,28.280
16,123,SortPoint_3_Right,108,143,,,,,7.029,
17,284,SortPoint_7_Right,251,286,SortPoint_9_Right,322,357,False,7.469,20.860
18,770,SortPoint_21_Right,751,786,SortPoint_21_Right,751,786,True,7.924,26.100
19,62,SortPoint_1_Right,37,71,SortPoint_3_Right,108,143,False,8.344,19.220
20,402,SortPoint_11_Right,394,429,SortPoint_11_Right,394,429,True,8.779,23.800
